"","customerID","tenure","MonthlyCharges","TotalCharges","Churn","Gender_Female","SeniorCitizen_0","Partner_Yes","Dependents_No","PhoneService_No","MultipleLines_No","InternetService_DSL","InternetService_Fiberoptic","OnlineSecurity_No","Online_Backup_Yes","DeviceProtection_No","TechSupport_No","tv_No","Movies_No","Contract_Monthtomonth","Contract_Oneyear","PaperLessBilling_Yes","PaymentMethod_Electroniccheck","PaymentMethod_Mailedcheck","PaymentMethod_Banktransfer_automatic"
"999","2545-LXYVJ",72,20.7,1492.1,"No",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1001","8357-EQXFO",7,95.35,660.9,"Yes",1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0
"1003","8120-JDCAM",4,69.55,284.9,"No",0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0
"1004","8917-FAEMR",37,19.85,784.25,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1005","7047-YXDMZ",21,20,417.7,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"1013","7426-RHZGU",9,95.9,827.45,"No",0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1
"1016","3863-IUBJR",12,53.65,696.35,"Yes",0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0
"1028","6732-FZUGP",47,94.9,4615.25,"No",1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"1029","8436-BJUMM",26,83.75,2070.6,"Yes",0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"1034","2632-TACXW",62,23.65,1416.75,"No",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1047","0810-DHDBD",52,74,3877.65,"No",1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"1049","2829-HYVZP",29,19.8,572.2,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"1051","1271-SJBGZ",12,43.65,526.95,"Yes",0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
"1052","3845-JHAMY",16,35.5,552.7,"No",1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0
"1053","7013-PSXHK",40,80.75,3208.65,"No",1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
"1061","6100-FJZDG",26,20.05,505.9,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"1064","7143-BQIBA",10,62.25,612.95,"No",0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
"1076","4194-WHFCB",59,96.65,5580.8,"No",1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
"1077","4121-AGSIN",58,24.5,1497.9,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1082","1751-NCDLI",46,98.85,4564.9,"No",0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
"1095","1338-CECEE",41,68.5,2839.95,"No",0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1
"1097","4646-QZXTF",7,81.25,580.1,"No",1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"1099","9742-XOKTS",67,89.55,6038.55,"No",0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0
"1100","6921-OZMFH",5,55.7,259.4,"No",0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0
"1101","9578-FOMUK",15,24.8,324.15,"No",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"1109","9397-TZSHA",69,24.6,1678.05,"No",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1112","9763-PDTKK",4,94.4,387.2,"Yes",1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1
"1124","0074-HDKDG",25,61.6,1611,"No",0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1
"1125","8791-GFXLZ",12,49.05,593.05,"No",0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
"1130","3452-ABWRL",47,86.05,3865.6,"No",0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0
"1143","2460-NGXBJ",11,75.2,775.3,"No",0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0
"1145","0841-NULXI",1,35.55,35.55,"Yes",0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0
"1147","1430-SFQSA",29,35.6,1072.6,"No",0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0
"1148","0411-EZJZE",3,60.25,170.5,"No",1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0
"1149","7851-WZEKY",2,95.15,196.9,"Yes",1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"1157","0621-CXBKL",53,18.7,1005.7,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1160","4086-YQSNZ",3,80.4,224.05,"Yes",1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"1172","6270-OMFIW",60,94.4,5610.25,"Yes",0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0
"1173","1641-RQDAY",32,100.4,3217.65,"No",1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0
"1178","2933-XEUJM",46,79.2,3593.8,"No",1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"1191","6807-SIWJI",38,104.85,3887.25,"No",0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0
"1193","1579-KLYDT",7,90.45,593.45,"Yes",0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0
"1195","8967-SZQAS",14,50.45,765.45,"No",1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
"1196","4468-KAZHE",20,60,1259.35,"No",1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0
"1197","0455-ENTCR",66,85.25,5538.35,"No",0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
"1205","6791-YBNAK",18,25.55,467.85,"No",0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0
"1208","0013-MHZWF",9,69.4,571.45,"No",1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0
"1220","2294-DMMUS",62,70.45,4300.45,"No",1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
"1221","0872-JCPIB",17,65.75,1111.2,"No",0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1
"1226","6581-NQCBA",16,49.95,810.2,"Yes",1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
"1239","5565-FILXA",16,96.15,1529.2,"Yes",1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"1241","2120-SMPEX",25,20.15,536.35,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1243","0668-OGMHD",21,28.5,629.35,"No",1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
"1244","5552-ZNFSJ",1,45.3,45.3,"Yes",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"1245","2223-KAGMX",15,19.4,289.3,"Yes",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1253","7617-EYGLW",1,19.45,19.45,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"1256","4030-VPZBD",2,30.9,59.05,"Yes",1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
"1268","2612-PHGOX",64,76.1,4818.8,"No",0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
"1269","2408-TZMJL",59,110.15,6448.05,"Yes",0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0
"1274","9681-KYGYB",49,88.2,4159.45,"No",0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0
"1287","8985-OOPOS",1,74.1,74.1,"No",1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"1289","2616-FLVQC",64,19.55,1240.15,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1291","3108-PCCGG",72,84.45,5899.85,"No",0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"1292","7993-PYKOF",8,75,632.95,"Yes",0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0
"1293","8390-FESFV",62,84.5,5193.2,"No",1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"1301","1291-CUOCY",72,110.6,7962.2,"No",0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"1304","0042-RLHYP",69,19.7,1396.9,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1316","5158-RIVOP",11,20.9,202.3,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1317","9788-YTFGE",7,19.95,147.5,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1322","3161-ONRWK",60,65.85,3928.3,"No",0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1
"1335","1768-ZAIFU",1,25.2,25.2,"Yes",1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"1337","3733-LSYCE",15,75.35,1114.55,"No",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
"1339","1934-SJVJK",1,20.15,20.15,"Yes",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"1340","3838-OZURD",66,105,7133.25,"Yes",0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0
"1341","1371-DWPAZ",0,56.05,2283.30044084187,"No",1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1349","1184-PJVDB",10,79.95,857.2,"Yes",0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"1352","7266-GSSJX",11,20.45,250.8,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"1364","3084-DOWLE",72,92,6474.4,"No",1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"1365","1084-MNSMJ",51,85.5,4421.95,"No",1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1370","5478-JJVZK",33,60.9,2033.85,"No",1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0
"1383","4538-WNTMJ",46,24.95,1165.9,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"1385","4704-ERYFC",22,69.25,1554,"Yes",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"1387","8060-HIWJJ",64,86.55,5632.55,"No",0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"1388","7684-XSZIY",72,24.3,1643.25,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1389","9089-UOWJG",12,58.35,740.55,"No",1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0
"1397","9518-RWHZL",64,100.05,6254.2,"Yes",1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
"1400","3131-NWVFJ",14,19.55,294.5,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"1412","2692-BUCFV",29,101.45,2948.6,"No",0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1
"1413","7861-UVUFT",15,84.3,1308.4,"Yes",1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0
"1418","5651-WYIPH",18,49.85,865.75,"No",1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0
"1431","6510-UPNKS",23,24.8,615.35,"No",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1433","9046-DQMTP",35,20.75,739.9,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1435","1571-SAVHK",12,99.95,1132.75,"Yes",0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0
"1436","9052-VKDUW",65,109.4,7227.45,"No",1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
"1437","9546-CQJSU",2,91.4,193.6,"Yes",1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0
"1445","5514-YQENT",41,111.15,4507.15,"No",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
"1448","2951-QOQTK",4,80.8,332.45,"Yes",0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"1460","3070-BDOQC",60,99.65,5941.05,"No",1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0
"1461","2952-QAYZF",5,85.3,424.15,"Yes",0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0
"1466","1866-OBPNR",1,74.6,74.6,"No",0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
"1479","9851-QXEEQ",41,104.7,4346.4,"Yes",0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0
"1481","8898-KASCD",39,35.55,1309.15,"No",0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
"1483","9290-SHCMB",13,96.85,1235.55,"No",1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0
"1484","0743-HNPFG",51,69.75,3562.5,"No",1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"1485","2277-BKJKN",71,99.2,7213.75,"No",1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0
"1493","3254-YRILK",19,88.2,1775.8,"Yes",0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0
"1496","4472-VESGY",52,98.15,4993.4,"No",1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1
"1508","7427-AUFPY",54,19.65,1008.7,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1509","2811-POVEX",23,88.45,2130.55,"No",1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1
"1514","0661-XEYAN",1,25.8,25.8,"Yes",1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0
"1527","2984-AFWNC",3,95.4,293.15,"No",1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
"1529","8096-LOIST",19,56.2,1093.4,"No",1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0
"1531","3703-VAVCL",2,90,190.05,"Yes",0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"1532","7107-UBYKY",35,25.75,882.55,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"1533","4881-GQJTW",14,19.6,300.4,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1541","2796-UUZZO",63,80.3,4896.35,"No",0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0
"1544","0330-IVZHA",5,69.95,330.15,"Yes",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0
"1556","9651-GTSAQ",53,106.1,5769.75,"Yes",1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1
"1557","3186-BAXNB",1,91.7,91.7,"Yes",1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0
"1562","1157-BQCUW",1,74.95,74.95,"Yes",0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"1575","5312-TSZVC",15,19.65,270.6,"No",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"1577","0993-OSGPT",68,60.65,3975.9,"No",1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1
"1579","1205-WNWPJ",7,59.5,415.95,"Yes",1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
"1580","9391-EOYLI",12,80.45,950.2,"Yes",0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
"1581","7108-DGVUU",21,71.7,1497.05,"No",1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1
"1589","8152-UOBNY",50,106.8,5347.95,"No",1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0
"1592","8246-SHFGA",17,21.1,385.55,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1604","7459-RRWQZ",15,64.65,994.55,"Yes",1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1
"1605","6265-SXWBU",69,95.75,6511.25,"No",0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0
"1610","3584-WKTTW",51,111.55,5720.35,"No",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
"1623","2361-UPSND",46,70.6,3231.05,"No",1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0
"1625","2929-QNSRW",56,98.25,5508.35,"Yes",1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0
"1627","9504-DSHWM",20,59.2,1191.2,"No",0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
"1628","5035-BVCXS",11,75.9,866.4,"No",0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
"1629","6267-DCFFZ",30,90.05,2627.2,"No",1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0
"1637","1371-OJCEK",48,24.35,1133.7,"No",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1640","4690-LLKUA",17,45.05,770.6,"Yes",0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"1652","8580-AECUZ",1,79.1,79.1,"Yes",0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"1653","3307-TLCUD",17,34.4,592.75,"No",0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0
"1658","4163-KIUHY",35,25.6,901.25,"No",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"1671","5047-LHVLY",1,50.15,50.15,"Yes",0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0
"1673","4737-AQCPU",72,72.1,5016.65,"No",0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"1675","2808-CHTDM",23,25.1,611.45,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1676","6311-UEUME",29,78.9,2384.15,"Yes",1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"1677","0793-TWELN",4,80.15,319.85,"No",1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0
"1685","4422-QVIJA",35,50.15,1655.35,"No",1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"1688","8332-OSJDW",12,26.4,314.95,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"1700","6223-DHJGV",42,20.65,958.1,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"1701","6961-MJKBO",47,20.45,943,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1706","4918-FYJNT",55,90.45,5044.8,"No",1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0
"1719","7279-NMVJC",17,19.9,323.15,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1721","6407-UTSLV",2,83.8,163.7,"No",1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1
"1723","9060-HJJRW",51,56.4,2928.5,"No",1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
"1724","2587-YNLES",6,20.1,100.35,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1725","7398-SKNQZ",3,94.9,273.2,"No",1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0
"1733","9705-IOVQQ",61,99,5969.3,"No",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0
"1736","2040-XBAVJ",72,114.45,8100.55,"No",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"1748","3198-VELRD",3,84.75,264.85,"Yes",1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1
"1749","8540-ZQGEA",54,20.05,1102.4,"No",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1754","2057-BOYKM",72,96.6,6827.5,"No",1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
"1767","8763-KIAFH",27,20.55,583.3,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"1769","3055-VTCGS",63,58.55,3503.5,"No",1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0
"1771","7279-BUYWN",41,113.2,4689.5,"Yes",1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
"1772","7156-MHUGY",13,90.5,1201.15,"Yes",0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"1773","7198-GLXTC",2,79,143.65,"Yes",0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0
"1781","0516-VRYBW",18,20.15,390.85,"Yes",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1784","8380-PEFPE",1,71.65,71.65,"Yes",0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"1796","5922-ABDVO",19,89.65,1761.05,"Yes",1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
"1797","2474-LCNUE",23,73.65,1642.75,"No",1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
"1802","2178-PMGCJ",22,69.7,1490.4,"No",0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0
"1815","5442-PPTJY",12,19.7,258.35,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1817","1663-MHLHE",1,19.2,19.2,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"1819","4450-MDZFX",60,74.35,4453.3,"No",0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
"1820","6701-DHKWQ",61,51.35,3244.4,"No",1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"1821","7554-AKDQF",6,45.65,323.45,"No",1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"1829","1839-UMACK",42,25.05,949.85,"No",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1832","3402-XRIUO",22,63.55,1381.8,"No",1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0
"1844","3173-WSSUE",71,19.7,1415.85,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1845","1265-HVPZB",59,66.4,3958.2,"No",0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0
"1850","0621-TWIEM",10,45.55,402.6,"Yes",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"1863","0523-VNGTF",52,50.5,2566.3,"No",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0
"1865","7105-MXJLL",26,60.7,1597.4,"No",1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0
"1867","7940-UQQUG",64,104.4,6721.6,"No",1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
"1868","0923-PNFUB",3,83.75,247.25,"Yes",1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0
"1869","3961-SXAXY",1,44.05,44.05,"No",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1
"1877","3946-JEWRQ",47,95.2,4563,"No",0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0
"1880","3494-JCHRQ",1,70.05,70.05,"Yes",0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"1892","4193-ORFCL",1,45.1,45.1,"Yes",1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"1893","1636-NTNCO",4,50.95,207.35,"No",0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0
"1898","7776-QWNFX",30,50.4,1527.5,"Yes",0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
"1911","6637-KYRCV",5,30.5,167.2,"No",1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0
"1913","0129-QMPDR",44,20.5,865.05,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"1915","5356-CSVSQ",3,64.6,174.2,"No",1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
"1916","3221-CJMSG",24,51.1,1269.6,"No",0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0
"1917","4720-VSTSI",44,84.8,3862.55,"Yes",1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1
"1925","1845-CSBRZ",22,85.35,1961.6,"No",1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1
"1928","4566-GOLUK",47,107.35,5118.95,"Yes",0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
"1940","8267-KFGYD",1,21.05,21.05,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"1941","4890-VMUAV",63,71.5,4576.3,"No",0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
"1946","8229-BUJHX",71,20.5,1500.95,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1959","3737-XBQDD",24,84.85,2048.8,"No",0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1
"1961","5846-QFDFI",33,88.6,2888.7,"No",1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
"1963","3511-APPBJ",23,99.95,2292.75,"No",0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"1964","7967-HYCDE",8,70.7,553.4,"No",0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1
"1965","2430-RRYUW",66,54.8,3465.7,"No",0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0
